ChapterNumber,Title,Para,RelevantSource
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"The third requirement means that if the asset or liability will give rises to amounts treated as income under an accounts-based regime, the special treatment under S320 does not apply. The obvious example is amounts taken into account in determining the carrying value of inventory, typically something that takes some time to manufacture for sale, say an aircraft. In that case, S320 does not apply and the accounts are simply followed.",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"In addition, the treatment in S320 does not apply to amount taken to the carrying value of an intangible fixed asset to which a writing down at {fixed rate election applies [CTA09/S730]}. This therefore follows the position of other intangible fixed assets.",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Effect,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"The effect of special treatment is that the amount is taken into account when capitalised, as if it were treated as an item of profit or loss. It then also follows that where an amount so treated gives rise to a debit on amortisation, depreciation or writing down, it is not taken into account for tax at that later time.",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Computational adjustments must therefore be made when amortisation of an asset is taken to profit and loss account, or when an asset is sold, and the interest then appears in the profit and loss account.",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Examples,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Development costs,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"This treatment also applies where development costs, for example in the development phase of a new product, are capitalised. If the development costs are correctly treated as being in respect of a capital asset, the company will get relief for interest and other associated cost when they are incurred.",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Work in progress,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Work in progress of, for example, a property developer, is not a fixed capital asset or project. Work in progress features in the income statement in the form of stock. It is circulating capital and not a capital asset of the company (see the Business Income Manual BIM35000+ on the distinction between fixed and circulating capital). Interest payable will be a debit in the profit and loss account but counterbalanced by an increase in work in progress. This does not mean that the interest has not been effectively debited to the profit and loss account. No adjustment will therefore be needed to ensure that relief is given for interest paid and taken to work in progress.",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Incidental costs of purchase of shares in a subsidiary,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Normally, it is correct accounting practice to spread the costs of loan finance used to buy shares. However, CTA09/S320 applies to allow relief in the year in which the costs were incurred and capitalised where",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"the shares are held as a fixed capital asset, and",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"the incidental costs come within CTA09/S306A(2), (previously CTA09/307(4)), and",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,it is generally accepted accounting practice to capitalise such costs.,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Position for accounting periods beginning before 1 January 2016,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Profits and losses from loan relationships include capital profits and losses (CTA09/S293(3)), but amounts brought into account are those recognised in a statement of the company’s profit or loss for the period or in reserves (CFM33100).",True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Interest and other expenses relating to a loan taken out to fund capital expenditure, may be taken to a fixed capital asset account. This therefore follows a similar position as outlined above in respect of accounting periods from 1 January 2016.",True
CFM42100,CFM42100 Exchange Gains And Losses,"Consequently, S486B(8) makes it clear that the amounts to be brought into account under the disguised interest rules would be as follows:",True
CFM95000,CFM95000 Interest Restriction,CFM95190    Glossary of Terms,True
CFM95200,CFM95200 Interest Restriction: Core Rules,"CFM95220    Core rules: interest capacity, allowances and disallowances",True
CFM95200,CFM95200 Interest Restriction: Core Rules,CFM95230    Core rules: the fixed ratio method,True
CFM95200,CFM95200 Interest Restriction: Core Rules,CFM95240    Interest restriction: core rules: the group ratio method,True
CFM95200,CFM95200 Interest Restriction: Core Rules,CFM95250    Core rules: carry forward and reactivations,True
CFM95200,CFM95200 Interest Restriction: Core Rules,CFM95260    Interest restriction: core rules: special rules,True
CFM95200,CFM95200 Interest Restriction: Core Rules,CFM95270    Interest restriction: core rules: transitional Rules,True
CFM95200,CFM95200 Interest Restriction: Core Rules,CFM95280    Interest restriction: core rules: administration,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95605    Tax-interest: overview,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95610    Tax-interest: tax-interest expense and income amounts,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95620    Tax-interest: disregarded periods,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95630    Tax-interest: relevant loan relationship amounts,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95640    Tax-interest: loan relationship fair value accounting,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95650    Tax-interest: relevant derivative contract amounts,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95660    Tax-interest: implicit financing costs,True
CFM95600,CFM95600 Interest Restriction: Tax-Interest,CFM95670    Tax-interest: consideration received for provision of a guarantee,True
