ChapterNumber,Title,Para
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000) (This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
AWRS141200,AWRS141200 How To Process A Fixed Penalty,(This content has been withheld because of exemptions in the Freedom of Information Act 2000)
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"The third requirement means that if the asset or liability will give rises to amounts treated as income under an accounts-based regime, the special treatment under S320 does not apply. The obvious example is amounts taken into account in determining the carrying value of inventory, typically something that takes some time to manufacture for sale, say an aircraft. In that case, S320 does not apply and the accounts are simply followed."
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"In addition, the treatment in S320 does not apply to amount taken to the carrying value of an intangible fixed asset to which a writing down at {fixed rate election applies [CTA09/S730]}. This therefore follows the position of other intangible fixed assets."
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Effect
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"The effect of special treatment is that the amount is taken into account when capitalised, as if it were treated as an item of profit or loss. It then also follows that where an amount so treated gives rise to a debit on amortisation, depreciation or writing down, it is not taken into account for tax at that later time."
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Computational adjustments must therefore be made when amortisation of an asset is taken to profit and loss account, or when an asset is sold, and the interest then appears in the profit and loss account."
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Examples
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Development costs
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"This treatment also applies where development costs, for example in the development phase of a new product, are capitalised. If the development costs are correctly treated as being in respect of a capital asset, the company will get relief for interest and other associated cost when they are incurred."
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Work in progress
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Work in progress of, for example, a property developer, is not a fixed capital asset or project. Work in progress features in the income statement in the form of stock. It is circulating capital and not a capital asset of the company (see the Business Income Manual BIM35000+ on the distinction between fixed and circulating capital). Interest payable will be a debit in the profit and loss account but counterbalanced by an increase in work in progress. This does not mean that the interest has not been effectively debited to the profit and loss account. No adjustment will therefore be needed to ensure that relief is given for interest paid and taken to work in progress."
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Incidental costs of purchase of shares in a subsidiary
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Normally, it is correct accounting practice to spread the costs of loan finance used to buy shares. However, CTA09/S320 applies to allow relief in the year in which the costs were incurred and capitalised where"
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"the shares are held as a fixed capital asset, and"
