ChapterNum,Title,FoundIn,NumberOfParasWithChanges,LinkToChanges
PAYE130025,PAYE130025 Allowances,['3141736'],226,Click to view
PTM094310,PTM094310 Valuing Pension Savings For Individual Protection 2016,['2723338'],201,Click to view
HMRC-MANUALS,HMRC Manuals,,167,Click to view
CTM97440,CTM97440 Copy Of The Guidance Notes,['1607191'],133,Click to view
CTM97430,CTM97430 CTSA: Copy Of The Contract,['1607191'],99,Click to view
OT19200,OT19200 PRT: Appendices - Deferral Of PRT Returns,['1603616'],94,Click to view
VAT-MANUALS,VAT Manuals,,90,Click to view
CTM40510,CTM40510 Claims For Exemption,,64,Click to view
CTM20330,CTM20330 ACT: Set-Off Against CT On Profits: Capacity Buying: Effect Of Applying Rules,,63,Click to view
OT19225,OT19225 PRT: Appendices - Deferral Of Returns (Alternative Method - Informal Returns),['1603616'],57,Click to view
PTM167200,PTM167200 Other Information Requirements For Scheme Administrators: Information That Must Be Included In The Pension Savings Statement,,56,Click to view
OT05325,OT05325 Crude Oils And Products - How To Calculate Category 1 Values,,54,Click to view
PTM093520,PTM093520 Defined Benefits Arrangements - Aspects Of ‘Benefit Accrual’,"['197050', '2723337', '2723339', '2723340']",51,Click to view
OT19025,OT19025 PRT: Appendices - Valuation Of LPG,,48,Click to view
PTM093210,PTM093210 Applying For Fixed Protection 2016 (FP 2016),"['2723338', '2723339']",47,Click to view
OT03100,OT03100 PRT - Definitions,,44,Click to view
CH201550,CH201550 General: Comp1 - Temporary Authorisation Of Tax Adviser During A Compliance Check,,42,Click to view
OT26105,OT26105 Ring Fence Expenditure Supplement: Contents,,38,Click to view
OT21000,OT21000 Corporation Tax Ring Fence: Contents,,38,Click to view
VBNB60960,VBNB60960 Definition And Registration Of Student Unions,,37,Click to view
OT19140,OT19140 PRT: Appendices - PRT/Accounts Reconciliation (Full Version),,36,Click to view
OT19075,OT19075 PRT: Appendices - Commingling,,35,Click to view
OT05300,OT05300 PRT: Valuation Of Non-Arm's Length Disposals And Appropriations - Oil: Contents,,32,Click to view
VBNB60470,VBNB60470 Clubs In Sections And Multi-Tiered Bodies,,32,Click to view
OT19040,OT19040 PRT: Appendices - Review Of LPG Methodology,,31,Click to view
CG58065,CG58065 TCGA92/S138A Does Not Apply: Example,['3149520'],31,Click to view
OT05360,OT05360 PRT: Valuation Of Non-Arms Length Disposals And Appropriations - Gas: Contents,,30,Click to view
CTM22010,CTM22010 Introduction,,30,Click to view
PTM032100,PTM032100 Applying To Register A Pension Scheme,['830310'],29,Click to view
OT13750,OT13750 PRT: Non Field,,27,Click to view
OT15000,OT15000 PRT: Tariff And Disposal Receipts: Contents,,25,Click to view
PTM145300,PTM145300 Conditions For Authorised Surplus Payments,,23,Click to view
ETASSUM34000,ETASSUM34000 Schedule 3 SAYE Option Schemes: Linkage To Savings (Arrangement): Contents,,23,Click to view
OT18000,OT18000 PRT Transfer Of Licence Interests Contents,,23,Click to view
OT19125,OT19125 PRT: Appendices - Extra Statutory Concessions,,22,Click to view
PTM125500,PTM125500 Pre A-Day Investments,,22,Click to view
CTM22060,CTM22060 Of Returns,,21,Click to view
CTM20105,CTM20105 ACT: Set-Off Against CT On Profits: Introduction,,21,Click to view
OT00190,OT00190 The Taxation Of The UK Oil Industry: An Overview: Other Developments To The Fiscal Regime 1975 To 2014,,21,Click to view
OT05030,OT05030 PRT: Computation - The Arms Length Rule - Examples,,21,Click to view
OT12000,OT12000 PRT: Supplement: Contents,,20,Click to view
OT05025,OT05025 PRT: Computation - Arm's Length Rule,,20,Click to view
IPT07820,IPT07820 Additional Premiums,,20,Click to view
OT05016,OT05016 PRT: Computations - Tax Point,,19,Click to view
OT05800,OT05800 PRT: Attribution Of Blended Crude Oil -Terminals Liftings - Contents,,19,Click to view
IPT05000,IPT05000 Calculating The Value Of The Premium: Contents,['3135019'],18,Click to view
OT30295,OT30295 Valuation Of Oil Assets Including Shares: Contents,,18,Click to view
OT20200,OT20200 Corporation Tax General: Contents,,18,Click to view
PIM2056,PIM2056 Restriction For Income Tax Purposes From 2017/18: Apportionment,,17,Click to view
OT26680,OT26680 Production Sharing Contracts: Contents,,17,Click to view
CH82343,CH82343 Example - Overstatement Of Losses Creates An Aggregate Loss,,17,Click to view
OT26300,OT26300 Capital Allowances - Mineral Extraction Allowance: Contents,,17,Click to view
OT26200,OT26200 Capital Allowances - Extended Ring Fence Expenditure Supplement For Onshore Activities : Contents,,17,Click to view
OT21195,OT21195 The Supplementary Charge: Contents,,17,Click to view
OT05004,OT05004 PRT: Computation: Contents,,17,Click to view
OT18500,OT18500 PRT Compliance: Contents,,17,Click to view
OT28020,OT28020 General Decommissioning Expenditure: Contents,,16,Click to view
IHTM11260,IHTM11260 Exemptions: Conditional Exemption,['2360249'],16,Click to view
OT26203,OT26203 Capital Allowances: Extended Ring Fence Expenditure Supplement For Onshore Activities - Conditions For Relief And Outline,,16,Click to view
IPT07600,IPT07600 The Special Accounting Scheme: Contents,,16,Click to view
