ChapterNum,Title,Title,Para,Para,ParaShifted,CharacterCountDifference,LevenshteinDistance,AboveLevCharThreshold
,Previous,Current,Previous,Current,,,,
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Profits and losses from loan relationships include capital profits and losses (CTA09/S293(3)), but amounts brought into account are those recognised in a statement of the company’s profit or loss for the period or in reserves (CFM33100).",Capitalised amounts,False,218,220,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Interest and other expenses relating to a loan taken out to fund capital expenditure, may be taken to a fixed capital asset account. Without special provision, the company may not get relief under the loan relationships legislation.",This guidance covers cases in which interest is capitalised in a company’s financial statements and therefore does not immediately give rise to amounts recognised as items of profit or loss. S 320 allows amounts to be taken into account for tax notwithstanding this treatment. This section was amended by F(No.2)A15 for accounting periods beginning on or after 1 January 2016.,False,144,557,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"CTA09/S320 applies where, in accordance with generally accepted accounting practice, amounts arising on a loan relationship are taken into account in determining the value of a fixed capital asset or project. Despite that treatment, the credit or debit must be brought into account under the loan relationships rules. This treatment is mandatory.","It should be noted, however, that there was no major changes to the general effect of the provision. The main change is that the special rule is no longer limited to amounts taken to the carrying value of a ‘fixed capital asset or project’, terminology not current in UK GAAP.",False,70,613,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"This does not mean that any debit or credit in a company’s accounts will automatically give rise to tax relief or a tax charge. There must be a gain, profit or loss on a loan relationship - see example of ‘work in progress’ below. Nor does it apply to debits on intangible assets which fall under CTA09/PT9.",Introduction,False,295,299,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Computational adjustments must be made when amortisation of an asset is taken to profit and loss account, or when an asset is sold, and the interest then appears in the profit and loss account.","The general rule in S307 is that amounts arising in respect of the loan relationship matters set out in S306A are only taken into account for tax under CTA09/PT5 if they are treated, under GAAP, as items of profits or loss.",False,30,283,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Development costs,"There are, however, situations where amounts are recognised in determining the carrying value of an asset or liability, and a result this does not give rise to an amount recognised as an item or profit or loss unless and until the asset is amortised or derecognised. Without special provision, the company may not get relief under the loan relationships legislation.",False,349,366,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"This treatment also applies where development costs, for example in the development phase of a new product, are capitalised. If the development costs are correctly treated as a fixed capital asset, the company will get relief for interest and other associated cost when they are incurred.","S320 operates to address this. This provision applies where, in accordance with generally accepted accounting practice, amounts are recognised in determining the carrying value of certain assets or liabilities. Despite that treatment, the amounts must be brought into account under the loan relationships rules. This treatment is mandatory.",False,52,515,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Work in progress,"This does not mean that any debit or credit in a company’s accounts will automatically give rise to tax relief or a tax charge. There must be a gain, profit or loss on a loan relationship - see example of ‘work in progress’ below. Nor does it apply to debits on intangible assets which fall under CTA09/PT9.",False,291,292,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Work in progress of, for example, a property developer, is not a fixed capital asset or project. Work in progress features in the profit and loss account in the form of stock. It is circulating capital and not a fixed asset of the company (see the Business Income Manual BIM35000+ on the distinction between fixed and circulating capital). Interest payable will be a debit in the profit and loss account but counterbalanced by an increase in work in progress. This does not mean that the interest has not been effectively debited to the profit and loss account. No adjustment will therefore be needed to ensure that relief is given for interest paid and taken to work in progress.",S320 can therefore operate to bring forward the point at which the amounts are recognised under the loan relationship rules.,False,556,711,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,Incidental costs of purchase of shares in a subsidiary,Conditions,False,44,54,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"Normally, it is correct accounting practice to spread the costs of loan finance used to buy shares. However, CTA09/S320 applies to allow relief in the year in which the costs were incurred and capitalised where",There are three conditions that must be satisfied for special treatment at S320 to apply:,False,121,203,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"the shares are held as a fixed capital asset, and",An amount must be in respect of loan relationship matters in s306A(1);,False,21,72,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,"the incidental costs come within CTA09/S307(4), and",GAAP allows the amount to be recognised in determining the carrying value of an asset or liability;,False,48,95,True
CFM33160,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,CFM33160 GAAP: Amounts Taken To Carrying Value Of An Asset Or Liability,it is generally accepted accounting practice to capitalise such costs.,any profit or loss for corporation tax purposes in relation to that asset or liability will not fall to be calculated in accordance with generally accepted accounting practice.,False,106,156,True
CFM42100,CFM42100 Exchange Gains And Losses,CFM42100 Exchange Gains And Losses,"Consequently, S486B(8) makes it clear that the amounts to be brought into account under the disguised interest rules would be as follows:","The fair value of the Company B shares for the purposes of the Company A accounts are, therefore, as follows:",False,28,124,True
CG58045,CG58045 Example,CG58045 Example,"This example illustrates the most common type of transaction. The consideration to be received is immediate cash, immediate shares and a deferred unascertainable amount of shares.",TCGA92/S279B(6),False,164,178,True
CG58045,CG58045 Example,CG58045 Example,All events take place on or after 26 November 1996. Illustrative indexation factors have been provided for the purposes of this example only. Indexation allowance does not apply to Capital Gains Tax disposals from 2008-09.,"If the criteria (e.g. profit targets) for an earn-out payment are not met, the vendor might not receive any deferred consideration. This will result in an allowable loss on the disposal of the right to receive unascertainable deferred consideration - the `notional security’ for TCGA92/S138A, see the example in CG58095. A loss arising in a later year may not be carried back to set against gains of an earlier year (except on death, see [CG30430](https://www.gov.uk/hmrc-internal-manuals/capital-gains-manual/cg30430)+).",False,299,684,True
CG58045,CG58045 Example,CG58045 Example,FACTS ,TCGA92/Ss279A to 279D allow losses on disposals of rights to receive unascertainable deferred consideration to be treated as if they arose in a year before the disposal occurred in certain circumstance (see CG15080 onwards). But section 279B(6) prevents those provisions from applying to earn-out rights that are assumed to be securities by section 138A.,False,348,352,True
CG58060,CG58060 Rights Partially Qualify,CG58060 Rights Partially Qualify,Page amalgamated into CG58030,TCGA92/S138A,False,17,32,True
