ChapterNumber,Link,Source,Title
CFM39020,View changes,Corporate Finance Manual,Artificial Payments Of Interest
CFM39040,View changes,Corporate Finance Manual,Reset Bonds: Introduction
CFM95190,View changes,Corporate Finance Manual,Glossary Of Terms
CFM95220,View changes,Corporate Finance Manual,"Rules: Interest Capacity, Allowances And Disallowances"
CFM95605,View changes,Corporate Finance Manual,x-Interest: Overview
CFM95610,View changes,Corporate Finance Manual,x-Interest: Tax-Interest Expense And Income Amounts
CFM95620,View changes,Corporate Finance Manual,x-Interest: Disregarded Periods
CFM95630,View changes,Corporate Finance Manual,x-Interest: Relevant Loan Relationship Amounts
CFM95640,View changes,Corporate Finance Manual,x-Interest: Loan Relationship Fair Value Accounting
CFM95650,View changes,Corporate Finance Manual,x-Interest: Relevant Derivative Contract Amounts
CFM95660,View changes,Corporate Finance Manual,x-Interest: Implicit Financing Costs
CFM95670,View changes,Corporate Finance Manual,x-Interest: Consideration Received For Provision Of A Guarantee
CFM95680,View changes,Corporate Finance Manual,x-Interest: Double Taxation Relief
CFM95690,View changes,Corporate Finance Manual,x-Interest: Co-Operative And Community Benefit Societies
CFM95695,View changes,Corporate Finance Manual,x-Interest: Certain Payments Made To Charaties
CFM95697,View changes,Corporate Finance Manual,x-Interest: Authorised Investment Funds And Investment Trust Companies
CFM95698,View changes,Corporate Finance Manual,Ttax-Interest: Securitisation Companies
CFM96840,View changes,Corporate Finance Manual,Election: Example With Interest Allowance (Consolidated Partnerships) Election
CFM96860,View changes,Corporate Finance Manual,Election: Application Of Election
CFM96930,View changes,Corporate Finance Manual,Infrastructure Company JV: How TIOPA10/S401 And TIOPA10/S427 Apply To A Single Company That Has Made A Section 444 Election
CFM96960,View changes,Corporate Finance Manual,Infrastructure Company JV: Effect On Other Companies
CFM97110,View changes,Corporate Finance Manual,Infrastructure: Outline
CFM97120,View changes,Corporate Finance Manual,Infrastructure: Qualifying Infrastructure Activity
CFM97130,View changes,Corporate Finance Manual,Infrastructure: Public Infrastructure Asset
CFM97140,View changes,Corporate Finance Manual,Infrastructure: Public Benefit Test
CFM97150,View changes,Corporate Finance Manual,Infrastructure: Expected Economic Life
CFM97160,View changes,Corporate Finance Manual,Infrastructure: Group Balance Sheet Test
CFM97170,View changes,Corporate Finance Manual,Infrastructure: Buildings Within UK Property Business
CFM97180,View changes,Corporate Finance Manual,"Infrastructure: Ancillary To, Or Facilitates, Provision"
CFM97190,View changes,Corporate Finance Manual,Infrastructure: Qualifying Infrastructure Company
CFM97200,View changes,Corporate Finance Manual,Infrastructure: The Income Test
CFM97210,View changes,Corporate Finance Manual,Infrastructure: The Asset Test
CFM97220,View changes,Corporate Finance Manual,Infrastructure: Fully Taxed In The UK
CFM97230,View changes,Corporate Finance Manual,Infrastructure: Decommissioning And Decommissioning Funds
CFM97240,View changes,Corporate Finance Manual,Infrastructure: The Election
CFM97250,View changes,Corporate Finance Manual,Infrastructure: Elections For A Transitional Period
CFM97260,View changes,Corporate Finance Manual,Infrastructure: Joint Elections Modifying The Effect Of An Election To Be Qualifying Infrastructure Company
CFM97270,View changes,Corporate Finance Manual,Infrastructure: Meaning Of Insignificant For Members Of A Joint Election
CFM97290,View changes,Corporate Finance Manual,Infrastructure: Effect Of Section 435 Election On Anti-Cycling Provisions
CFM97300,View changes,Corporate Finance Manual,Infrastructure: Exemption For Interest Payable To Third Parties
CFM97330,View changes,Corporate Finance Manual,"Infrastructure: Guarantees, Indemnities And Financial Assistance"
CFM97340,View changes,Corporate Finance Manual,Infrastructure: Qualifying Old Loan Relationship
CFM97360,View changes,Corporate Finance Manual,Infrastructure: Highly Predictable
CFM97370,View changes,Corporate Finance Manual,Infrastructure: Ceasing To Be A Qualifying Old Loan Relationship
CFM97380,View changes,Corporate Finance Manual,Infrastructure: Amounts To Be Ignored Or Treated As Nil
CFM97390,View changes,Corporate Finance Manual,Infrastructure: Interaction With The ‘De Minimis’ Provisions
CFM97400,View changes,Corporate Finance Manual,Infrastructure: Interaction With The Transitional Provisions
CFM97420,View changes,Corporate Finance Manual,Infrastructure: Partnerships And Transparent Entities
CFM97430,View changes,Corporate Finance Manual,Infrastructure: Relevant Public Body
CFM97505,View changes,Corporate Finance Manual,Groups: Overview
CFM97515,View changes,Corporate Finance Manual,Groups: Banking Companies And Banking Groups
CFM97525,View changes,Corporate Finance Manual,Groups: Insurance Companies And Groups
CFM97710,View changes,Corporate Finance Manual,Reits: Overview
CFM97720,View changes,Corporate Finance Manual,Reits: Allocation Of Disallowances
CFM97730,View changes,Corporate Finance Manual,Reits: Limit On Property Rental Business (PRB) Disallowance
CFM97740,View changes,Corporate Finance Manual,Reits: Disallowance To Residual Business
CFM97750,View changes,Corporate Finance Manual,Reits: Reits And The Interest Restriction Return
CFM97760,View changes,Corporate Finance Manual,Reits: Corporate Non-Resident Landlords
CFM97810,View changes,Corporate Finance Manual,Leasing: Overview
CFM97820,View changes,Corporate Finance Manual,Leasing: Long Funding Operating Leases
CFM97830,View changes,Corporate Finance Manual,Leasing: Finance Leases That Are Not Long Funding Leases
CFM97920,View changes,Corporate Finance Manual,Regimes: Oil & Gas
CFM98010,View changes,Corporate Finance Manual,i-Avoidance: Anti-Avoidance
CFM98020,View changes,Corporate Finance Manual,i-Avoidance: Commencement And Exceptions
CFM98210,View changes,Corporate Finance Manual,Rules: Introduction
CFM98220,View changes,Corporate Finance Manual,Rules: Terminology
CFM98230,View changes,Corporate Finance Manual,Rules: Carry Forward Of Interest Disallowance
CFM98240,View changes,Corporate Finance Manual,Rules: Use And Time-Expiry Of Brought Forward Interest Allowance
CFM98250,View changes,Corporate Finance Manual,Rules: Excess Debt Cap
CFM98310,View changes,Corporate Finance Manual,Rules: Introduction
CFM98320,View changes,Corporate Finance Manual,Rules: Straddling Period Of Account
CFM98330,View changes,Corporate Finance Manual,Rules: Repeal Of Worldwide Debt Cap
CFM98350,View changes,Corporate Finance Manual,Rules: Extended Time Limits
CFM98360,View changes,Corporate Finance Manual,Rules: Previous Accounting And Tax Changes
CFM98410,View changes,Corporate Finance Manual,Administration: Overview
CFM98430,View changes,Corporate Finance Manual,Requirements: The Full Interest Restriction Return
CFM98440,View changes,Corporate Finance Manual,Requirements: The Abbreviated Interest Restriction Return
CFM98460,View changes,Corporate Finance Manual,Requirements: Elections That May Be Made In The Return
CFM98635,View changes,Corporate Finance Manual,Company: Relevant Accounting Period.
CFM98640,View changes,Corporate Finance Manual,Company: Disallowances For Consenting Companies.
CFM98650,View changes,Corporate Finance Manual,Company: Disallowances For Non-Consenting Companies
CFM98654,View changes,Corporate Finance Manual,Company: Disallowances Where No Compliant Interest Restriction Return
CFM98657,View changes,Corporate Finance Manual,Company: Provision Of Information To Other Group Companies Where There Is No Reporting Company
CFM98660,View changes,Corporate Finance Manual,Company: Items Of Income To Be Left Out Of Account
CFM98670,View changes,Corporate Finance Manual,Company: Disallowed Tax-Interest Amounts Carried Forward
CFM98680,View changes,Corporate Finance Manual,Company: Reactivation Of Disallowed Tax-Interest Amounts Carried Forward
CFM98690,View changes,Corporate Finance Manual,Company: Identification Of Reactivated Items Of Income
CFM98700,View changes,Corporate Finance Manual,Company: Set Off Of Disallowances And Reactivations
CFM98730,View changes,Corporate Finance Manual,Procedure: Service Of A Notice Of Enquiry
CFM98740,View changes,Corporate Finance Manual,Procedure: Normal Time Limits For Opening An Enquiry
CFM98750,View changes,Corporate Finance Manual,Procedure: Extended Time Limits Where There Is A Discovery
CFM98760,View changes,Corporate Finance Manual,Procedure: Scope Of Enquiry And Interaction With A CT Return Enquiry
CFM98770,View changes,Corporate Finance Manual,Procedure: Notice Requiring SA Amendment To Prevent Loss Of Tax During Enquiry
CFM98780,View changes,Corporate Finance Manual,Procedure: Revision Of A Return During An Enquiry
CFM98790,View changes,Corporate Finance Manual,"Procedure: Closure Notice, Correct Group And Period Of Account"
CFM98800,View changes,Corporate Finance Manual,Procedure: Requirement Of A Reporting Company To Submit A Revised Return
CFM98810,View changes,Corporate Finance Manual,Procedure: Closure Notices When Return Submitted For Incorrect Period Of Account
CFM98820,View changes,Corporate Finance Manual,Procedure: Closure Notices When Group Was Identified Incorrectly
CFM98830,View changes,Corporate Finance Manual,Procedure: Closure Notices When Incorrect Group And Correct Group Has A Reporting Company
CFM98840,View changes,Corporate Finance Manual,Procedure: Closure Notices When Incorrect Group And Correct Group Has No Reporting Company
CFM98850,View changes,Corporate Finance Manual,Procedure: Direction To Complete An Enquiry
CFM98860,View changes,Corporate Finance Manual,Procedure: Appeals Against Closure And PARA51 Notices
CFM98870,View changes,Corporate Finance Manual,Procedure: Determinations Following An Enquiry And Resulting Revisions
CFM98880,View changes,Corporate Finance Manual,Procedure: Consequential Claims To Company Tax Returns Following Enquiry
CFM98900,View changes,Corporate Finance Manual,Powers: Duty To Keep And Preserve Records
CFM98910,View changes,Corporate Finance Manual,Powers: Introduction
CFM98920,View changes,Corporate Finance Manual,Powers: Powers Relating To Members Of Worldwide Group
CFM98930,View changes,Corporate Finance Manual,Powers: Third Party Information Powers
CFM98940,View changes,Corporate Finance Manual,Powers: Limitation Of Powers When Enquiry Is Currently Opened Into A Filed Return
CFM98950,View changes,Corporate Finance Manual,"Powers: Meaning Of ""Checking An Interest Restriction Return"""
CFM98960,View changes,Corporate Finance Manual,Powers: Appeals Against Information Notices
CFM98970,View changes,Corporate Finance Manual,Powers: General Information Powers And Interest Restriction Information Powers
CFM98990,View changes,Corporate Finance Manual,Administration: Penalties: Introduction
CFM99000,View changes,Corporate Finance Manual,Administration: Penalties: Penalties For Failure To Deliver An Interest Restriction Return
CFM99010,View changes,Corporate Finance Manual,Administration: Penalties: Penalty For Failure To Notify That A Return Contains Estimates After 36 Months
CFM99020,View changes,Corporate Finance Manual,Administration: Penalties: Introduction To Penalties For Incorrect Return
CFM99030,View changes,Corporate Finance Manual,Administration: Penalties: The Three Levels Of Inaccuracy And Penalty For An Incorrect Return
CFM99040,View changes,Corporate Finance Manual,Administration: Penalties: Notional Tax On The Return
CFM99050,View changes,Corporate Finance Manual,Administration: Penalties: Factors Which May Reduce The Level Of Penalty On An Incorrect Return
CFM99054,View changes,Corporate Finance Manual,Administration: Penalties: Reductions In Penalty Levels For Special Circumstances - General
CFM99057,View changes,Corporate Finance Manual,Administration: Penalties: Special Reduction Where Notional Tax Exceeds Actual Loss Of Tax
CFM99060,View changes,Corporate Finance Manual,Administration: Penalties: Inaccuracy Attributable To Company Other Than Reporting Company
CFM99070,View changes,Corporate Finance Manual,Administration: Penalties: Assessment Payment And Enforcement Of Penalty
CFM99080,View changes,Corporate Finance Manual,Administration: Penalties: Appeals Against Penalties For An Incorrect Return
CFM99090,View changes,Corporate Finance Manual,Administration: Penalties: Payments Between Group Companies In Respect Of Penalties
CFM99100,View changes,Corporate Finance Manual,Administration: Penalties: Penalties For Failure To Keep And Preserve Records
CFM99110,View changes,Corporate Finance Manual,Administration: Penalties: Penalties For Failure To Comply With Information Notices
CH290000,View changes,Compliance Handbook Manual,Evasion: Contents
CH290050,View changes,Compliance Handbook Manual,Evasion: Introduction
CH290100,View changes,Compliance Handbook Manual,Evasion: Referral Criteria
CH290150,View changes,Compliance Handbook Manual,Evasion: Voluntary Request For Contractual Disclosure Facility (CDF)
CH290200,View changes,Compliance Handbook Manual,Evasion: Referral Process
CH401290,View changes,Compliance Handbook Manual,Introduction: Requirement To Correct: Contents
CH62220,View changes,Compliance Handbook Manual,Behaviour - Examples
