ChapterNumber,CharCountDiff,LevDistance,Link,Title,paraChangeCount,textLevTotal
ADCD02000,0.0,0.0,View changes,ADCD02000 Control: Contents,0.0,0.0
ADCD02250,0.0,0.0,View changes,ADCD02250 Circumvention,0.0,0.0
ADCD02350,0.0,1.0,View changes,ADCD02350 Payment Of ADD/CVD,0.0,0.0
AWRS141200,1705.0,1776.0,View changes,AWRS141200 How To Process A Fixed Penalty,4.0,393.0
BEER-MANUAL,0.0,1.0,View changes,Beer Guidance Manual,0.0,0.0
BEER4000,0.0,1.0,View changes,BEER4000 Small Brewery Beer: Contents,0.0,0.0
BEER4090,0.0,1.0,View changes,BEER4090 Duty Suspended Movements Within The UK,0.0,0.0
BEER6000,0.0,2.0,View changes,BEER6000 Beer Duty: Contents,0.0,0.0
BKLM331120,1.0,4.0,View changes,BKLM331120 No Comparable Scheme List,0.0,0.0
CA37700,0.0,3.0,View changes,CA37700 Enterprise Zones: Realisation Of Capital Value: Contents,0.0,0.0
CA37705,0.0,3.0,View changes,CA37705 IBA: Background,0.0,0.0
CA37720,0.0,3.0,View changes,CA37720 IBA: Conditions For Legislation To Apply,0.0,0.0
CAP-IMPORTS,1.0,4.0,View changes,CAP Imports Manual,0.0,0.0
CAPI01000,1.0,4.0,View changes,CAPI01000 Introduction: Contents,0.0,0.0
CAPI01050,1.0,5.0,View changes,CAPI01050 Introduction: Scope Of Guidance,0.0,0.0
CAPI01100,1.0,5.0,View changes,CAPI01100 Introduction: Background,0.0,0.0
CAPI01150,1.0,5.0,View changes,CAPI01150 Introduction: The Law,0.0,0.0
CAPI01200,1.0,5.0,View changes,CAPI01200 Introduction: Objectives,0.0,0.0
CAPI01250,1.0,5.0,View changes,CAPI01250 Introduction: Revenue Risks,0.0,0.0
CAPI02000,1.0,5.0,View changes,CAPI02000 General Principles: Contents,0.0,0.0
CAPI02050,1.0,7.0,View changes,CAPI02050 Legal Provisions,0.0,0.0
CAPI02100,1.0,5.0,View changes,"CAPI02100 Responsibilities Of Department For Environment, Food And Rural Affairs (DEFRA)",0.0,0.0
CAPI02150,1.0,7.0,View changes,CAPI02150 Responsibilities Of Rural Payments Agency (RPA),0.0,0.0
CAPI02200,1.0,5.0,View changes,CAPI02200 Responsibilities Of Her Majesty's Revenue & Customs (HMRC),0.0,0.0
CAPI02250,1.0,4.0,View changes,CAPI02250 Responsibilities Of The UK Border Agency (UKBA),0.0,0.0
CAPI03000,1.0,5.0,View changes,CAPI03000 Sources Of CAP Information: Contents,0.0,0.0
CAPI03050,1.0,5.0,View changes,CAPI03050 Customs Handling Of Import And Export Freight (CHIEF),0.0,0.0
CAPI03100,1.0,5.0,View changes,CAPI03100 Other CAP Information Sources,0.0,0.0
CAPI04000,1.0,5.0,View changes,CAPI04000 CAP Charges: Contents,0.0,0.0
CAPI04050,1.0,6.0,View changes,CAPI04050 List Of CAP Charges,0.0,0.0
