ChapterNumber,CharCountDiff,LevDistance,Link,Title,paraChangeCount,paraCount,textLevTotal
ADCD02000,0.0,0.0,View changes,Control: Contents,0.0,0.0,0.0
ADCD02250,0.0,0.0,View changes,Circumvention,0.0,0.0,0.0
ADCD02350,0.0,1.0,View changes,Payment Of ADD/CVD,0.0,14.0,0.0
AWRS141200,1705.0,1776.0,View changes,How To Process A Fixed Penalty,4.0,5.0,393.0
BEER-MANUAL,0.0,1.0,View changes,Beer Guidance Manual,0.0,22.0,0.0
BEER4000,0.0,1.0,View changes,Small Brewery Beer: Contents,0.0,14.0,0.0
BEER4090,0.0,1.0,View changes,Duty Suspended Movements Within The UK,0.0,9.0,0.0
BEER6000,0.0,2.0,View changes,Beer Duty: Contents,0.0,9.0,0.0
BKLM331120,1.0,4.0,View changes,No Comparable Scheme List,0.0,36.0,0.0
CA37700,0.0,3.0,View changes,Enterprise Zones: Realisation Of Capital Value: Contents,0.0,11.0,0.0
CA37705,0.0,3.0,View changes,IBA: Background,0.0,9.0,0.0
CA37720,0.0,3.0,View changes,IBA: Conditions For Legislation To Apply,0.0,14.0,0.0
CAP-IMPORTS,1.0,4.0,View changes,CAP Imports Manual,0.0,22.0,0.0
CAPI01000,1.0,4.0,View changes,Introduction: Contents,0.0,8.0,0.0
CAPI01050,1.0,5.0,View changes,Introduction: Scope Of Guidance,0.0,6.0,0.0
CAPI01100,1.0,5.0,View changes,Introduction: Background,0.0,7.0,0.0
CAPI01150,1.0,5.0,View changes,Introduction: The Law,0.0,7.0,0.0
CAPI01200,1.0,5.0,View changes,Introduction: Objectives,0.0,11.0,0.0
CAPI01250,1.0,5.0,View changes,Introduction: Revenue Risks,0.0,4.0,0.0
CAPI02000,1.0,5.0,View changes,General Principles: Contents,0.0,9.0,0.0
CAPI02050,1.0,7.0,View changes,Legal Provisions,0.0,9.0,0.0
CAPI02100,1.0,5.0,View changes,"Responsibilities Of Department For Environment, Food And Rural Affairs (DEFRA)",0.0,7.0,0.0
CAPI02150,1.0,7.0,View changes,Responsibilities Of Rural Payments Agency (RPA),0.0,10.0,0.0
CAPI02200,1.0,5.0,View changes,Responsibilities Of Her Majesty's Revenue & Customs (HMRC),0.0,12.0,0.0
CAPI02250,1.0,4.0,View changes,Responsibilities Of The UK Border Agency (UKBA),0.0,7.0,0.0
CAPI03000,1.0,5.0,View changes,Sources Of CAP Information: Contents,0.0,6.0,0.0
CAPI03050,1.0,5.0,View changes,Customs Handling Of Import And Export Freight (CHIEF),0.0,6.0,0.0
CAPI03100,1.0,5.0,View changes,Other CAP Information Sources,0.0,13.0,0.0
CAPI04000,1.0,5.0,View changes,CAP Charges: Contents,0.0,14.0,0.0
CAPI04050,1.0,6.0,View changes,List Of CAP Charges,0.0,8.0,0.0
CAPI04100,1.0,5.0,View changes,Specific Customs Duty,0.0,6.0,0.0
CAPI04150,1.0,5.0,View changes,Ad Valorem Customs Duty,0.0,6.0,0.0
CAPI04200,1.0,7.0,View changes,Combination Of Specific And Ad Valorem Customs Duty,0.0,10.0,0.0
CAPI04250,1.0,5.0,View changes,Countervailing Charge,0.0,7.0,0.0
CAPI04300,1.0,5.0,View changes,Preferential Rates Of CAP Duty,0.0,7.0,0.0
CAPI04350,1.0,4.0,View changes,Safeguard Measures,0.0,10.0,0.0
CAPI04400,1.0,5.0,View changes,Euro Conversion Rates,0.0,6.0,0.0
CAPI04450,1.0,5.0,View changes,Discrepancies Affecting The CAP Charge,0.0,8.0,0.0
CAPI04500,1.0,5.0,View changes,Further Information,0.0,4.0,0.0
CAPI05000,1.0,6.0,View changes,Import Procedures: Contents,0.0,11.0,0.0
CAPI05050,1.0,7.0,View changes,Place Of Discharge,0.0,13.0,0.0
CAPI05100,1.0,5.0,View changes,Acceptance Of Declarations,0.0,7.0,0.0
CAPI05150,1.0,7.0,View changes,Checking Of Declarations,0.0,8.0,0.0
CAPI05200,1.0,5.0,View changes,Substitute Declarations,0.0,9.0,0.0
CAPI05250,1.0,5.0,View changes,CAP Licences,0.0,5.0,0.0
CAPI05300,1.0,5.0,View changes,Potential Offence Cases,0.0,5.0,0.0
CAPI05350,1.0,4.0,View changes,Reporting Of Irregularities,0.0,4.0,0.0
CAPI06000,1.0,5.0,View changes,Control Procedures On Miscellaneous CAP Importations: Contents,0.0,14.0,0.0
CAPI06050,1.0,5.0,View changes,Goods In Transit Or Transhipment,0.0,4.0,0.0
CAPI06100,1.0,6.0,View changes,End-Use And Use/Destination Control,0.0,7.0,0.0
CAPI06150,1.0,7.0,View changes,Re-Imports After Processing Abroad,0.0,8.0,0.0
CAPI06200,1.0,5.0,View changes,Returned Goods Relief (RGR),0.0,11.0,0.0
CAPI06250,1.0,7.0,View changes,Temporarily Imported Goods,0.0,8.0,0.0
CAPI06300,1.0,5.0,View changes,Processing Under Customs Control (PCC),0.0,6.0,0.0
CAPI06350,1.0,5.0,View changes,Customs Warehousing (CW),0.0,8.0,0.0
CAPI06400,1.0,5.0,View changes,Free Zones,0.0,5.0,0.0
CAPI07000,1.0,5.0,View changes,CAP Import Licences: Contents,0.0,22.0,0.0
CAPI07050,1.0,4.0,View changes,General,0.0,8.0,0.0
CAPI07100,1.0,5.0,View changes,CAP Licences,0.0,7.0,0.0
CCM15000,0.0,4.0,View changes,Chapter 15 - Undisclosed Partners: Contents,0.0,88.0,0.0
CCM15010,0.0,4.0,View changes,Claims To Tax Credits,0.0,16.0,0.0
CCM15025,0.0,6.0,View changes,Prohibited Relationships,0.0,6.0,0.0
CCM15310,0.0,4.0,View changes,Same-Sex Couples - Incorrect Claims,0.0,7.0,0.0
CFM11080,0.0,3.0,View changes,The Cost Of Borrowing,0.0,12.0,0.0
CFM11110,0.0,3.0,View changes,The Cost Of Borrowing: Hybrid Debt,0.0,13.0,0.0
CFM11120,0.0,3.0,View changes,Alternative Finance,0.0,7.0,0.0
CFM1160,0.0,3.0,View changes,Converting From The Old Corporate Finance Manual,0.0,8.0,0.0
CFM12070,0.0,3.0,View changes,Exchange Rates Used In Company Accounts,0.0,13.0,0.0
CFM13110,0.0,3.0,View changes,Types Of Derivative,0.0,10.0,0.0
CFM13280,0.0,3.0,View changes,Interest Rate Risk,0.0,18.0,0.0
CFM13330,0.0,3.0,View changes,Interest Rate Options,2.0,12.0,2.0
CFM13340,0.0,3.0,View changes,Interest Rate Caps And Floors,1.0,13.0,1.0
CFM13360,0.0,3.0,View changes,Credit Risk,0.0,9.0,0.0
CFM13390,0.0,3.0,View changes,Foreign Exchange Risk,1.0,10.0,1.0
CFM13400,0.0,1.0,View changes,Hedging Foreign Exchange Risk,1.0,9.0,1.0
CFM13440,54.0,55.0,View changes,Commodity Risk,0.0,7.0,0.0
CFM21010,0.0,2.0,View changes,Overview,0.0,17.0,0.0
CFM21030,0.0,2.0,View changes,Terms Used In Guidance,0.0,4.0,0.0
CFM21060,0.0,2.0,View changes,"Financial Instrument, Financial Assets, Financial Liabilities",3.0,17.0,3.0
CFM21100,0.0,2.0,View changes,Equity Instrument,1.0,13.0,1.0
CFM21170,0.0,2.0,View changes,Amortised Cost,1.0,13.0,1.0
CFM21220,0.0,2.0,View changes,Liability And Equity: Overview,3.0,10.0,6.0
CFM21240,0.0,2.0,View changes,Liability And Equity: Derivatives Not Classified As Equity,1.0,8.0,1.0
CFM21260,0.0,2.0,View changes,Liability And Equity: Compound Financial Instruments: Accounting Treatment,1.0,11.0,1.0
CFM21300,0.0,2.0,View changes,Offsetting: Overview,1.0,11.0,1.0
CFM21505,0.0,2.0,View changes,International Financial Reporting Standards: Overview,0.0,9.0,0.0
CFM21506,1.0,3.0,View changes,International Financial Reporting Standards: History Of IAS 32 And IAS 39,1.0,23.0,1.0
CFM21520,0.0,2.0,View changes,International Financial Reporting Standards: IAS 39: Classification Of Financial Assets And Financial Liabilities,1.0,16.0,1.0
CFM21610,0.0,2.0,View changes,International Financial Reporting Standards: IAS 39: Measurement Of Financial Assets,2.0,15.0,2.0
CFM21640,0.0,2.0,View changes,Accounting For Corporate Finance: International Accounting Standards: IAS 39: Measurement Of Financial Assets: Amortised Cost,2.0,12.0,2.0
CFM21670,0.0,2.0,View changes,International Financial Reporting Standards: IAS 39: Measurement Of Financial Assets: Impairment,1.0,11.0,1.0
CFM22510,4.0,5.0,View changes,Borrowers: Accounting Standards Overview,0.0,11.0,0.0
CFM22520,14.0,15.0,View changes,Borrowers: Accounting Standards: FRS 4,0.0,23.0,0.0
CFM22530,2.0,3.0,View changes,Borrowers: Accruals Accounting,0.0,7.0,0.0
CFM23010,0.0,1.0,View changes,FRS 102: Overview,1.0,8.0,1.0
CFM23015,6.0,7.0,View changes,FRS 102: History Of FRS 102,0.0,11.0,0.0
CFM23045,3.0,5.0,View changes,FRS 102: Measurement Of Basic Financial Instruments: Amortised Cost,1.0,13.0,1.0
CFM23068,1.0,3.0,View changes,FRS 102: Impairment: Accounting Treatment,0.0,8.0,0.0
CFM23075,1.0,3.0,View changes,FRS 102: Derecognition Of A Financial Asset,0.0,10.0,0.0
CFM23078,2.0,4.0,View changes,FRS 102: Derecognition Of A Financial Liability,0.0,7.0,0.0
CFM24200,0.0,2.0,View changes,What Is A Derivative Financial Instrument?,0.0,11.0,0.0
CFM24300,1.0,3.0,View changes,"Accounting For Derivatives Under IFRS, New UK GAAP And FRS 26",0.0,7.0,0.0
CFM24430,3.0,5.0,View changes,Accounting For Interest Rate Swaps Held To Manage Interest Rate Risk Under Old UK GAAP (Excluding FRS 26),0.0,11.0,0.0
