ChapterNumber,CharCountDiff,LevDistance,Link,Title
ADCD02000,0.0,0.0,View changes,ADCD02000 Control: Contents
ADCD02250,0.0,0.0,View changes,ADCD02250 Circumvention
ADCD02350,0.0,1.0,View changes,ADCD02350 Payment Of ADD/CVD
AWRS141200,1705.0,1776.0,View changes,AWRS141200 How To Process A Fixed Penalty
BEER-MANUAL,0.0,1.0,View changes,Beer Guidance Manual
BEER4000,0.0,1.0,View changes,BEER4000 Small Brewery Beer: Contents
BEER4090,0.0,1.0,View changes,BEER4090 Duty Suspended Movements Within The UK
BEER6000,0.0,2.0,View changes,BEER6000 Beer Duty: Contents
BKLM331120,1.0,4.0,View changes,BKLM331120 No Comparable Scheme List
CA37700,0.0,3.0,View changes,CA37700 Enterprise Zones: Realisation Of Capital Value: Contents
CA37705,0.0,3.0,View changes,CA37705 IBA: Background
CA37720,0.0,3.0,View changes,CA37720 IBA: Conditions For Legislation To Apply
CAP-IMPORTS,1.0,4.0,View changes,CAP Imports Manual
CAPI01000,1.0,4.0,View changes,CAPI01000 Introduction: Contents
CAPI01050,1.0,5.0,View changes,CAPI01050 Introduction: Scope Of Guidance
CAPI01100,1.0,5.0,View changes,CAPI01100 Introduction: Background
CAPI01150,1.0,5.0,View changes,CAPI01150 Introduction: The Law
CAPI01200,1.0,5.0,View changes,CAPI01200 Introduction: Objectives
CAPI01250,1.0,5.0,View changes,CAPI01250 Introduction: Revenue Risks
CAPI02000,1.0,5.0,View changes,CAPI02000 General Principles: Contents
CAPI02050,1.0,7.0,View changes,CAPI02050 Legal Provisions
CAPI02100,1.0,5.0,View changes,"CAPI02100 Responsibilities Of Department For Environment, Food And Rural Affairs (DEFRA)"
CAPI02150,1.0,7.0,View changes,CAPI02150 Responsibilities Of Rural Payments Agency (RPA)
CAPI02200,1.0,5.0,View changes,CAPI02200 Responsibilities Of Her Majesty's Revenue & Customs (HMRC)
CAPI02250,1.0,4.0,View changes,CAPI02250 Responsibilities Of The UK Border Agency (UKBA)
CAPI03000,1.0,5.0,View changes,CAPI03000 Sources Of CAP Information: Contents
CAPI03050,1.0,5.0,View changes,CAPI03050 Customs Handling Of Import And Export Freight (CHIEF)
CAPI03100,1.0,5.0,View changes,CAPI03100 Other CAP Information Sources
CAPI04000,1.0,5.0,View changes,CAPI04000 CAP Charges: Contents
CAPI04050,1.0,6.0,View changes,CAPI04050 List Of CAP Charges
CAPI04100,1.0,5.0,View changes,CAPI04100 Specific Customs Duty
CAPI04150,1.0,5.0,View changes,CAPI04150 Ad Valorem Customs Duty
CAPI04200,1.0,7.0,View changes,CAPI04200 Combination Of Specific And Ad Valorem Customs Duty
CAPI04250,1.0,5.0,View changes,CAPI04250 Countervailing Charge
CAPI04300,1.0,5.0,View changes,CAPI04300 Preferential Rates Of CAP Duty
CAPI04350,1.0,4.0,View changes,CAPI04350 Safeguard Measures
CAPI04400,1.0,5.0,View changes,CAPI04400 Euro Conversion Rates
CAPI04450,1.0,5.0,View changes,CAPI04450 Discrepancies Affecting The CAP Charge
CAPI04500,1.0,5.0,View changes,CAPI04500 Further Information
CAPI05000,1.0,6.0,View changes,CAPI05000 Import Procedures: Contents
CAPI05050,1.0,7.0,View changes,CAPI05050 Place Of Discharge
CAPI05100,1.0,5.0,View changes,CAPI05100 Acceptance Of Declarations
CAPI05150,1.0,7.0,View changes,CAPI05150 Checking Of Declarations
CAPI05200,1.0,5.0,View changes,CAPI05200 Substitute Declarations
CAPI05250,1.0,5.0,View changes,CAPI05250 CAP Licences
CAPI05300,1.0,5.0,View changes,CAPI05300 Potential Offence Cases
CAPI05350,1.0,4.0,View changes,CAPI05350 Reporting Of Irregularities
CAPI06000,1.0,5.0,View changes,CAPI06000 Control Procedures On Miscellaneous CAP Importations: Contents
CAPI06050,1.0,5.0,View changes,CAPI06050 Goods In Transit Or Transhipment
CAPI06100,1.0,6.0,View changes,CAPI06100 End-Use And Use/Destination Control
CAPI06150,1.0,7.0,View changes,CAPI06150 Re-Imports After Processing Abroad
CAPI06200,1.0,5.0,View changes,CAPI06200 Returned Goods Relief (RGR)
CAPI06250,1.0,7.0,View changes,CAPI06250 Temporarily Imported Goods
CAPI06300,1.0,5.0,View changes,CAPI06300 Processing Under Customs Control (PCC)
CAPI06350,1.0,5.0,View changes,CAPI06350 Customs Warehousing (CW)
CAPI06400,1.0,5.0,View changes,CAPI06400 Free Zones
CAPI07000,1.0,5.0,View changes,CAPI07000 CAP Import Licences: Contents
CAPI07050,1.0,4.0,View changes,CAPI07050 General
CAPI07100,1.0,5.0,View changes,CAPI07100 CAP Licences
CCM15000,0.0,4.0,View changes,CCM15000 Chapter 15 - Undisclosed Partners: Contents
CCM15010,0.0,4.0,View changes,CCM15010 Claims To Tax Credits
CCM15025,0.0,6.0,View changes,CCM15025 Prohibited Relationships
CCM15310,0.0,4.0,View changes,CCM15310 Same-Sex Couples - Incorrect Claims
CFM11080,0.0,3.0,View changes,CFM11080 The Cost Of Borrowing
CFM11110,0.0,3.0,View changes,CFM11110 The Cost Of Borrowing: Hybrid Debt
CFM11120,0.0,3.0,View changes,CFM11120 Alternative Finance
CFM1160,0.0,3.0,View changes,CFM1160 Converting From The Old Corporate Finance Manual
CFM12070,0.0,3.0,View changes,CFM12070 Exchange Rates Used In Company Accounts
CFM13110,0.0,3.0,View changes,CFM13110 Types Of Derivative
CFM13280,0.0,3.0,View changes,CFM13280 Interest Rate Risk
CFM13330,0.0,3.0,View changes,CFM13330 Interest Rate Options
CFM13340,0.0,3.0,View changes,CFM13340 Interest Rate Caps And Floors
CFM13360,0.0,3.0,View changes,CFM13360 Credit Risk
CFM13390,0.0,3.0,View changes,CFM13390 Foreign Exchange Risk
CFM13400,0.0,1.0,View changes,CFM13400 Hedging Foreign Exchange Risk
CFM13440,54.0,55.0,View changes,CFM13440 Commodity Risk
CFM21010,0.0,2.0,View changes,CFM21010 Overview
CFM21030,0.0,2.0,View changes,CFM21030 Terms Used In Guidance
CFM21060,0.0,2.0,View changes,"CFM21060 Financial Instrument, Financial Assets, Financial Liabilities"
CFM21100,0.0,2.0,View changes,CFM21100 Equity Instrument
CFM21170,0.0,2.0,View changes,CFM21170 Amortised Cost
CFM21220,0.0,2.0,View changes,CFM21220 Liability And Equity: Overview
CFM21240,0.0,2.0,View changes,CFM21240 Liability And Equity: Derivatives Not Classified As Equity
