,Chapter,DocInfo
0,CG78310,['2293849']
1,PTM051100,"['184800', '152200', '197049']"
2,PTM063500,"['184800', '141873', '141877', '165448']"
3,PTM063600,"['184800', '141877']"
4,PTM063700,"['184800', '141877']"
5,PTM063240,"['1136520', '211909']"
6,PTM088640,"['1136520', '1382737']"
7,PTM112100,"['1350681', '1350685']"
8,PTM112500,['1350681']
9,PTM112700,"['1350681', '193247']"
10,PTM112720,['1350681']
11,PTM112800,['1350681']
12,PTM113210,"['1350681', '1350685', '2792305']"
13,PTM169200,['1350681']
16,PTM062800,"['1382737', '158302', '158303', '849773']"
17,PTM088610,['1382737']
18,PTM088620,"['1382737', '174336', '2850511']"
19,PTM088630,['1382737']
21,PTM088650,['1382737']
22,PTM088660,['1382737']
23,PTM088670,['1382737']
24,PTM088680,"['1382737', '876395']"
25,PTM088690,"['1382737', '141946', '1642617', '193247']"
26,PTM088700,['1382737']
31,PTM053710,"['141946', '193247']"
33,PTM028000,"['142815', '182981']"
34,PTM062210,"['142815', '182981']"
36,PTM141000,['152200']
37,PTM161100,"['158301', '232065', '832513']"
38,PTM000001,"['158302', '221349']"
41,PTM142000,['158303']
42,PTM125400,"['162613', '225387']"
50,PTM102000,['193247']
51,PTM103000,['193247']
54,PTM051200,"['197049', '197163']"
55,PTM055200,['197049']
56,PTM056200,"['197049', '234324']"
57,PTM092200,"['197050', '2723336', '2725544']"
58,PTM092300,"['197050', '2723337', '2723338', '2723340', '2725544', '285449']"
59,PTM093520,"['197050', '2723337', '2723339', '2723340']"
60,PTM095200,"['197050', '2723336']"
61,PTM160800,"['197050', '832513']"
62,PTM162100,"['197050', '232065', '234324']"
65,PTM044100,"['217770', '2792305', '344789']"
77,PTM093210,"['2723338', '2723339']"
78,PTM094310,['2723338']
86,PTM095360,['2792305']
87,PTM113100,"['2792305', '1459874']"
91,PTM031200,['830310']
92,PTM032100,['830310']
93,PTM032300,['830310']
94,PTM151000,['830310']
99,CTM08040,['919942']
100,RDRM32100,"['1339572', '1457752', '179105']"
103,STSM012040,"['167294', '142109', '154878', '156978', '156979']"
104,STSM015020,"['167294', '142108', '152243']"
105,STSM031060,"['167294', '2475684', '142109', '154878', '156978', '156979']"
106,STSM041030,"['167294', '142108', '142109', '149463', '154878', '156978', '156979', '158169']"
107,STSM132050,"['167294', '142109', '154879']"
108,STSM142130,"['167294', '142109', '154879']"
109,IHTM11224,['174883']
110,RM3312,['179016']
112,RDRM32300,['179105']
113,CTM60060,['209134']
114,STSM101050,"['217966', '158169']"
115,CG37842,['219460']
116,CG-APP9,['224107']
117,CG78300,['225004']
118,CG78327,['225004']
119,CG78328,['225004']
120,CG78409,['225004']
121,CG78315,['225115']
122,CTM48635,"['225115', '233533']"
123,IHTM11260,['2360249']
124,CTM60220,['2559307']
125,CG64555,['265568']
126,CG64716,['265569']
127,SDLTM09800,"['80906', '1572388', '3149504']"
128,RDRM32000,['958184']
129,RDRM32310,['958184']
130,RDRM32320,['958184']
131,RDRM32360,['958184']
132,ETASSUM34140,"['1462336', '288377', '788507', '3129696', '3129700']"
135,CTM03570,['1518122']
136,VATSC30000,"['1547075', '210194']"
138,STSM022050,['2691383']
139,CTM36320,"['2775294', '1758448']"
140,CTM61560,['2812775']
141,CFM55210,['2889693']
